league,season,game,md,match_no,home,away,date,kickoff,venue,attendance,duration,home_goals,away_goals,referee,referee_id,assistant_1,assistant_1_id,assistant_2,assistant_2_id,fourth_official,fourth_official_id,commissioner,commissioner_id,assessor,assessor_id
UPL,2025/26,BUL-vs-URA,1,1,BUL,URA,26/09/2025,04:00,FUFA Technical Centre-,,1 h 50 min,0,0,Olemu George,026597M90,Magoola Ashiraf,001373M98,Nantabo Lydia Wanyama,027140F88,Semakula John,031966M91,Kaweesa Andrew,000190M78,Nsubuga Faisal Abubaker,000817M72
UPL,2025/26,ENTEBBE-vs-BUHIMBA,1,2,ENTEBBE,BUHIMBA,26/09/2025,04:00,Bugonga Fisheries,250,1 h 56 min,0,1,Ssemeere Asadu,001317M85,Mulindwa Hakim,005439M87,Lubwama Ivan,026606M93,kikabbi Ronald,046512M98,Katende Jerome Raymond,031862M87,,
UPL,2025/26,KITARA-vs-KCCA,1,3,KITARA,KCCA,26/09/2025,04:00,"The Royals Park-Butema,",1000,1 h 51 min,1,1,Okello Dick,026309M90,Okudra Emmanuel,026307M87,Katerega Ashiraf,026432M97,Atiku Rahuman,029306M86,Gramdks Robert,038090M80,Batte Denis,031245M76
UPL,2025/26,LUGAZI-vs-CALVARY,1,4,LUGAZI,CALVARY,26/09/2025,04:00,"Lugazi FC Stadium, Lugazi",500,1 h 51 min,3,1,Duula Joshua,031939M95,Musisi Brianson,031196M95,Mafumu Mustapha,000549M93,Samba Hassan,058487M03,Kabaikaramu Paul,026118M80,Kebb Haruna,043952M52
UPL,2025/26,POLICE-vs-MBARARA,1,5,POLICE,MBARARA,26/09/2025,04:00,Kiira Road Police Arena –,,1 h 49 min,1,1,Oloya William,026436M88,nassolo elizabeth,026430F95,Mutonyi Jane,026310F84,Tumusiime Gerald Tuge,026772M94,Alal Eron,031868M89,Ssonko Mark,031668M78
UPL,2025/26,EXPRESS-vs-UPDF,1,6,EXPRESS,UPDF,26/09/2025,08:00,"Hamz Stadium-Nakivubo,",,0 h 0 min,1,0,KASALIRWE LUCKY RAZAKE,005489M97,Katenya Ronald,026697M89,Ongiera Immaculate,026386F93,Kimayo stephen Masaya,026389M84,Kavuma Hassan,000155M79,Katabira David Davies,031670M57
UPL,2025/26,BUL-vs-MAROONS,2,9,BUL,MAROONS,01/10/2025,04:00,FUFA Technical Centre-,500,1 h 56 min,1,0,Duula Joshua,031939M95,Azedi Mironso,043967M99,Lubwama Ivan,026606M93,Semakula John,031966M91,Waiswa Ajab,032130M60,Batte Denis,031245M76
UPL,2025/26,POLICE-vs-EXPRESS,2,11,POLICE,EXPRESS,02/10/2025,04:00,Kavumba Recreation,400,1 h 51 min,2,1,Murungi Diana,026304F93,Ongiera Immaculate,026386F93,Nantabo Lydia Wanyama,027140F88,Nantongo Recheal,027164F98,Kimbugwe Robert,000743M83,Ssali Mashood,026317M86
UPL,2025/26,URA-vs-NEC,2,12,URA,NEC,02/10/2025,08:00,"MTN Omondi-Lugogo,",200,1 h 49 min,1,1,Oloya William,026436M88,Mawerere Musa,058307M96,MUGERWA INNOCENT,057321M04,Masembe Joseph,042866M92,Yenka Daniel,031963M81,Okello Lee,026312M80
UPL,2025/26,BUHIMBA-vs-CALVARY,2,13,BUHIMBA,CALVARY,04/10/2025,10:00,"The Royals Park-Butema,",200,1 h 50 min,2,0,Okello Dick,026309M90,Magoola Ashiraf,001373M98,Happy Badru,031546M99,Tumusiime Gerald Tuge,026772M94,Nsozi Adam Ssematiko,031987M78,Nagaddya Catherine Cynthia,033465F81
UPL,2025/26,MBARARA-vs-UPDF,2,14,MBARARA,UPDF,03/10/2025,04:00,Kakyeka Stadium-,150,1 h 52 min,0,1,Ssemeere Asadu,001317M85,Mutonyi Jane,026310F84,nassolo elizabeth,026430F95,Nuwagaba Felix,027161M95,Kanyesigye Benson,029250M92,Kalyango Ali,031581M73
UPL,2025/26,KCCA-vs-VILLA,2,16,KCCA,Villa,04/10/2025,08:00,Mandela National,,0 h 0 min,2,1,KASALIRWE LUCKY RAZAKE,005489M97,Mulindwa Hakim,005439M87,Musisi Brianson,031196M95,Kimayo stephen Masaya,026389M84,Sseninde Jean Namayega,031678F92,Tomusange Ali Mulumba,031671M64
UPL,2025/26,MBARARA-vs-BUL,3,17,MBARARA,BUL,17/10/2025,04:00,Kakyeka Stadium-,,1 h 50 min,1,1,Olemu George,026597M90,Zziwa Charles Edward,031279M93,Nayebare Babrah,026382F96,Nuwagaba Felix,027161M95,Kanyesigye Benson,029250M92,Turyomuriwe Samuel,000609M84
UPL,2025/26,URA-vs-EXPRESS,3,18,URA,EXPRESS,17/10/2025,08:00,"Hamz Stadium-Nakivubo,",5000,1 h 49 min,1,1,Tumuhaise John Baptist,036441M97,Musisi Brianson,031196M95,Muzamil Musa Mursal,026376M93,Musisi Henry,026383M86,Ayebare Patricia,031663F93,Waiswa Ali Kalibala,031672M64
UPL,2025/26,UPDF-vs-MAROONS,3,19,UPDF,MAROONS,15/10/2025,04:00,Bombo Military Barracks,500,1 h 51 min,1,2,Okello Dick,026309M90,Lubwama Ivan,026606M93,Mawerere Musa,058307M96,Masembe Joseph,042866M92,Ssonko Remmegious Kiganda,032224M82,Kalyango Ali,031581M73
UPL,2025/26,VILLA-vs-ENTEBBE,3,20,Villa,ENTEBBE,15/10/2025,08:00,"FUFA Stadium – Kadiba ,",,1 h 49 min,1,1,Oloya William,026436M88,Mbabali Samuel,026605M93,Mafumu Mustapha,000549M93,Nasser Muhammed Kirya,040629M95,Yenka Daniel,031963M81,Adipo Catherine Wejuli,030053F70
UPL,2025/26,NEC-vs-POLICE,3,24,NEC,POLICE,18/10/2025,08:00,"MTN Omondi-Lugogo,",200,1 h 50 min,2,2,Ssemeere Asadu,001317M85,Okudra Emmanuel,026307M87,Azedi Mironso,043967M99,Semakula John,031966M91,Sewaya Ismail,031964M77,Ssonko Mark,031668M78
UPL,2025/26,LUGAZI-vs-URA,4,25,LUGAZI,URA,22/10/2025,04:00,"Lugazi FC Stadium, Lugazi",,1 h 50 min,0,0,Masembe Joseph,042866M92,Nantabo Lydia Wanyama,027140F88,Mawerere Musa,058307M96,Samba Hassan,058487M03,Kisakye Sarah,000505M91,Kebb Haruna,043952M52
UPL,2025/26,MAROONS-vs-CALVARY,4,26,MAROONS,CALVARY,22/10/2025,04:00,"Maroons Stadium–Luzira,",100,1 h 51 min,0,0,Nasser Muhammed Kirya,040629M95,Mutonyi Jane,026310F84,Kinyera Fred,031968M95,Semakula John,031966M91,Ayebare Patricia,031663F93,Kakooza Emmy John,032457M87
UPL,2025/26,BUL-vs-BUHIMBA,4,27,BUL,BUHIMBA,23/10/2025,04:00,FUFA Technical Centre-,200,1 h 49 min,3,0,Okello Dick,026309M90,Katenya Ronald,026697M89,Musisi Brianson,031196M95,Olemu George,026597M90,Kabaikaramu Paul,026118M80,Adipo Catherine Wejuli,030053F70
UPL,2025/26,EXPRESS-vs-KCCA,4,28,EXPRESS,KCCA,23/10/2025,08:00,"Hamz Stadium-Nakivubo,",,1 h 49 min,0,1,Oloya William,026436M88,Mulindwa Hakim,005439M87,Katerega Ashiraf,026432M97,Duula Joshua,031939M95,Katabira David Davies,031670M57,Kavuma Hassan,000155M79
UPL,2025/26,KITARA-vs-MBARARA,4,29,KITARA,MBARARA,24/10/2025,04:00,"The Royals Park-Butema,",,0 h 0 min,3,2,KASALIRWE LUCKY RAZAKE,005489M97,Happy Badru,031546M99,Mafumu Mustapha,000549M93,Yasir Arafat,031561M98,Kimbugwe Robert,000743M83,Ssali Mashood,026317M86
UPL,2025/26,VILLA-vs-POLICE,4,30,Villa,POLICE,24/10/2025,08:00,,700,1 h 50 min,2,1,Outeke Daniel Moses Uhuru,026359M97,Magoola Ashiraf,001373M98,Lubwama Ivan,026606M93,Tumusiime Gerald Tuge,026772M94,Nsereko Hamza Kawuma,031971M88,Nagaddya Catherine Cynthia,033465F81
UPL,2025/26,ENTEBBE-vs-NEC,4,31,ENTEBBE,NEC,25/10/2025,04:00,Bugonga Fisheries,,1 h 51 min,1,0,Nabadda Shamirah,026313F91,nassolo elizabeth,026430F95,Kyamanywa Tomas Kalangira,042941M95,kikabbi Ronald,046512M98,Yenka Daniel,031963M81,Miiro Brian Nsubuga,024474M79
UPL,2025/26,POLICE-vs-MAROONS,5,33,POLICE,MAROONS,29/10/2025,04:00,Kiira Road Police Arena –,500,1 h 51 min,2,1,Duula Joshua,031939M95,Mbabali Samuel,026605M93,Opolot Shafik,055857M02,Nantongo Recheal,027164F98,Kabaikaramu Paul,026118M80,Nkono Amin Bbosa,000159M67
UPL,2025/26,URA-vs-UPDF,5,34,URA,UPDF,29/10/2025,07:00,"Hamz Stadium-Nakivubo,",,1 h 50 min,3,2,Tumusiime Gerald Tuge,026772M94,Mulindwa Hakim,005439M87,Lulenzi Sharif,026322M94,Masembe Joseph,042866M92,Katende Jerome Raymond,031862M87,Nsubuga Faisal Abubaker,000817M72
UPL,2025/26,KITARA-vs-LUGAZI,5,35,KITARA,LUGAZI,30/10/2025,04:00,"The Royals Park-Butema,",350,1 h 52 min,4,0,Ssemeere Asadu,001317M85,Musisi Brianson,031196M95,Muzamil Musa Mursal,026376M93,Atiku Rahuman,029306M86,Ssonko Remmegious Kiganda,032224M82,Adipo Catherine Wejuli,030053F70
UPL,2025/26,BUL-vs-EXPRESS,5,36,BUL,EXPRESS,30/10/2025,04:00,FUFA Technical Centre-,,2 h 5 min,0,0,kikabbi Ronald,046512M98,Katenya Ronald,026697M89,Nantabo Lydia Wanyama,027140F88,Samba Hassan,058487M03,Waiswa Ajab,032130M60,Tomusange Ali Mulumba,031671M64
UPL,2025/26,BUHIMBA-vs-VILLA,5,37,BUHIMBA,Villa,31/10/2025,04:00,,,1 h 48 min,0,3,Nasser Muhammed Kirya,040629M95,Okudra Emmanuel,026307M87,Mafumu Mustapha,000549M93,Yasir Arafat,031561M98,Gramdks Robert,038090M80,Kubingi Margaret Kebba Fatia,000181F72
UPL,2025/26,KCCA-vs-CALVARY,5,38,KCCA,CALVARY,31/10/2025,08:00,"MTN Omondi-Lugogo,",,0 h 0 min,4,2,Olemu George,026597M90,Azedi Mironso,043967M99,Happy Badru,031546M99,Outeke Daniel Moses Uhuru,026359M97,Nsereko Hamza Kawuma,031971M88,Miiro Brian Nsubuga,024474M79
UPL,2025/26,ENTEBBE-vs-VIPERS,5,39,ENTEBBE,VIPERS,01/11/2025,04:00,Bugonga Fisheries,,0 h 0 min,0,1,KASALIRWE LUCKY RAZAKE,005489M97,Katerega Ashiraf,026432M97,Lulenzi Sharif,026322M94,Nasser Muhammed Kirya,040629M95,Alal Eron,031868M89,Oula David,043951M85
