game,in,out,min,added_time,team,md
BUL-vs-URA,Isaac Musiima,George Kasonko,46,no,BUL,1
BUL-vs-URA,Ibrahim Orit,Isaac Wagoina,69,no,BUL,1
BUL-vs-URA,Reagan Kalyowa,Martin Aprem,69,no,BUL,1
BUL-vs-URA,Denis Luzige Kisiriko,Nelson Senkatuka,76,no,URA,1
BUL-vs-URA,Norman Namanya,Laban Tibiita,76,no,URA,1
BUL-vs-URA,ALEX KITATA,Abdul Karim Ndugwa,88,no,BUL,1
BUL-vs-URA,JOHN INNOCENT KISOLO,Ibrahim Wamannah,88,no,URA,1
BUL-vs-URA,Godfrey Sekibengo,Joseph Ssemujju,88,no,URA,1
ENTEBBE-vs-BUHIMBA,Junior Samuel Kawawa,Muhammad Kyeyune,32,no,ENTEBBE,1
ENTEBBE-vs-BUHIMBA,Noordin Saddic Bunjo,Steven Munguchi,46,no,ENTEBBE,1
ENTEBBE-vs-BUHIMBA,Emmanuel Iisat,Issa Bugembe,46,no,ENTEBBE,1
ENTEBBE-vs-BUHIMBA,Hussein Mwanje,Edson Agondeze,67,no,BUHIMBA,1
ENTEBBE-vs-BUHIMBA,Shafic Kiryowa,Swadik Moro,67,no,BUHIMBA,1
ENTEBBE-vs-BUHIMBA,sheif Batte,John Wesley kisaakye,67,no,BUHIMBA,1
ENTEBBE-vs-BUHIMBA,John Kokas Alou,Hassan Ssenyonjo,67,no,ENTEBBE,1
ENTEBBE-vs-BUHIMBA,Fazil Tumwine,Ambrose Kigozi,67,no,ENTEBBE,1
ENTEBBE-vs-BUHIMBA,Malongo Gedeon Mpia,Anwaru Mustafa Ntege,83,no,BUHIMBA,1
KITARA-vs-KCCA,STEVEN JAMES OYIRWOTH,Gavin Mugweri Kizito,46,no,KCCA,1
KITARA-vs-KCCA,John Bosco Byaruhanga,Emmanuel Alex Wasswa,55,no,KITARA,1
KITARA-vs-KCCA,Peter Magambo,Hassan Muhamud,55,no,KCCA,1
KITARA-vs-KCCA,Emmanuel Anyama,Shafik Nana Kwikiriza,55,no,KCCA,1
KITARA-vs-KCCA,Alex Yiga,Ivan Ahimbisibwe,55,no,KCCA,1
KITARA-vs-KCCA,George Senkaaba,Yunusu Sibira,78,no,KITARA,1
KITARA-vs-KCCA,Sharifu Ssengendo,Ashraf Mugume,78,no,KCCA,1
LUGAZI-vs-CALVARY,Freedom Mungudit,Amos Etojo,30,no,LUGAZI,1
LUGAZI-vs-CALVARY,Ashiraf Mulindi,Juma Ssajjabi,46,no,LUGAZI,1
LUGAZI-vs-CALVARY,Allan Kiggundu,James Ssemambo,56,no,CALVARY,1
LUGAZI-vs-CALVARY,Stephen Oriokot,Bashir Asiku,56,no,CALVARY,1
LUGAZI-vs-CALVARY,Alfred Leku,Moses Ojoaza Buga,65,no,LUGAZI,1
LUGAZI-vs-CALVARY,Mubaraka Mitala,Steven Nyalimo,80,no,CALVARY,1
LUGAZI-vs-CALVARY,Saidi Sukuru,Christopher Agotre,80,no,CALVARY,1
LUGAZI-vs-CALVARY,Edrine Junior Owachgiu,Sharif Saaka,90(+1),yes,LUGAZI,1
POLICE-vs-MBARARA,Denis Kaka Omony,Abudul Malik Bironse,46,no,MBARARA,1
POLICE-vs-MBARARA,Nasur Almahad Sadik,Latif Ssenkubuge,46,no,MBARARA,1
POLICE-vs-MBARARA,Ivan Eyamu,Abudshakur Ramsey Jemba,60,no,POLICE,1
POLICE-vs-MBARARA,Lawrence Tezikya,Charles Bbaale,60,no,POLICE,1
POLICE-vs-MBARARA,Reagan Steven Male,Brian James Obedi,60,no,POLICE,1
POLICE-vs-MBARARA,Gabriel Eragu,Innocent Wafula Esimu,63,no,MBARARA,1
POLICE-vs-MBARARA,Thomas Kakaire,Gadaffi Kacancu,63,no,MBARARA,1
POLICE-vs-MBARARA,Clinton Davico Kamugisha,Mike Walaga,79,no,MBARARA,1
POLICE-vs-MBARARA,Umaru Kasumba,Sizwe Mario Gwebu,83,no,POLICE,1
EXPRESS-vs-UPDF,Mikidadi Ssenyonga,Muhamed Kagawa Ssenoga,46,no,EXPRESS,1
EXPRESS-vs-UPDF,OLOYA MOSES,HAKIM WANDERA,46,no,EXPRESS,1
EXPRESS-vs-UPDF,Rashid Faridi,Samson Andrew Kigozi,52,no,UPDF,1
EXPRESS-vs-UPDF,Asaph Ssegujja,FRANK GLADISON MUGISA,66,no,UPDF,1
EXPRESS-vs-UPDF,IBRAHIM MAKUMBI,Emmanuel Manu Ochen,66,no,UPDF,1
EXPRESS-vs-UPDF,Elvis Ssekajjugo,Abdulahi Rashid,87,no,EXPRESS,1
EXPRESS-vs-UPDF,ISA GLORY KISUULE,Peter Onzima,87,no,EXPRESS,1
EXPRESS-vs-UPDF,Kitara Daniel,Samuel Kayongo Ssekamatte,87,no,UPDF,1
EXPRESS-vs-UPDF,Enrique Lubwama,Christopher Kamagu,87,no,UPDF,1
BUL-vs-MAROONS,Dickson Niwamanya,Abel Michael Eturude,46,no,MAROONS,2
BUL-vs-MAROONS,Jackson Nunda,Ivan Mayanja,46,no,MAROONS,2
BUL-vs-MAROONS,Nicholas Mwere,Isaac Wagoina,65,no,BUL,2
BUL-vs-MAROONS,Seiri Arigumaho,Abdul Karim Ndugwa,65,no,BUL,2
BUL-vs-MAROONS,Brian Nkuubi,Norman Borniface Odipio,69,no,MAROONS,2
BUL-vs-MAROONS,Simon Achidi,Martin Aprem,78,no,BUL,2
BUL-vs-MAROONS,Ibrahim Orit,Denis Ssewagudde,78,no,BUL,2
BUL-vs-MAROONS,Emmanuel Obua,Rogers Kiwanuka,78,no,MAROONS,2
BUL-vs-MAROONS,George Kasonko,Ibrahim Mugulusi,90,no,BUL,2
POLICE-vs-EXPRESS,Mikidadi Ssenyonga,John Asiimwe,46,no,EXPRESS,2
POLICE-vs-EXPRESS,Yosia Kisa,HAKIM WANDERA,46,no,EXPRESS,2
POLICE-vs-EXPRESS,Dennis Kalanzi,Brian James Obedi,56,no,POLICE,2
POLICE-vs-EXPRESS,Bedia Djuma Ikamba,Umaru Kasumba,56,no,POLICE,2
POLICE-vs-EXPRESS,Charles Bbaale,Sizwe Mario Gwebu,78,no,POLICE,2
POLICE-vs-EXPRESS,Rayn Figo Kizito,Abudshakur Ramsey Jemba,78,no,POLICE,2
POLICE-vs-EXPRESS,Habert Asiimwe,Richard Basangwa,79,no,EXPRESS,2
POLICE-vs-EXPRESS,Emmanuel Mugume,Saidi Kyeyune,83,no,POLICE,2
POLICE-vs-EXPRESS,Henry Wamala,Abdulahi Rashid,85,no,EXPRESS,2
URA-vs-NEC,Joseph Ssemujju,Nelson Senkatuka,75,no,URA,2
URA-vs-NEC,Paul Mucureezi,Dhata Joseph Stephen Lujang,75,no,NEC,2
URA-vs-NEC,James Jarieko,CHARLES MOSES WAIBI,75,no,NEC,2
URA-vs-NEC,Norman Namanya,Godfrey Sekibengo,87,no,URA,2
URA-vs-NEC,Nicholas Kabonge,Denis Luzige Kisiriko,90(+4),yes,URA,2
URA-vs-NEC,Hudu Mulikyi,James Penz Begisa,90(+4),yes,URA,2
BUHIMBA-vs-CALVARY,Allan Kiggundu,Julius Ocen,46,no,CALVARY,2
BUHIMBA-vs-CALVARY,ANDREW KIWANUKA,Bashir Asiku,46,no,CALVARY,2
BUHIMBA-vs-CALVARY,James Ssemambo,Simon Peter Odeke,60,no,CALVARY,2
BUHIMBA-vs-CALVARY,Saidi Sukuru,Christopher Agotre,60,no,CALVARY,2
BUHIMBA-vs-CALVARY,Derick Byabacwezi,Anwaru Mustafa Ntege,69,no,BUHIMBA,2
BUHIMBA-vs-CALVARY,Shafic Kiryowa,John Wesley kisaakye,69,no,BUHIMBA,2
BUHIMBA-vs-CALVARY,Mubaraka Mitala,Junior Emmanuel Ojok,70,no,CALVARY,2
BUHIMBA-vs-CALVARY,John Bosco Sempijja,Swadik Moro,78,no,BUHIMBA,2
BUHIMBA-vs-CALVARY,Mpuna Emmanuel Biseki,Edson Agondeze,90(+1),yes,BUHIMBA,2
MBARARA-vs-UPDF,Thomas Kakaire,Gadaffi Kacancu,60,no,MBARARA,2
MBARARA-vs-UPDF,Nasur Almahad Sadik,Ambrose Arinda,60,no,MBARARA,2
MBARARA-vs-UPDF,Ronald Edwok,Mike Walaga,75,no,MBARARA,2
MBARARA-vs-UPDF,Sadat Nsubuga,Ian Amanya,75,no,MBARARA,2
MBARARA-vs-UPDF,Clinton Davico Kamugisha,Denis Kaka Omony,80,no,MBARARA,2
MBARARA-vs-UPDF,Aggrey Kiirya,Samson Andrew Kigozi,85,no,UPDF,2
MBARARA-vs-UPDF,Emmanuel Manu Ochen,Rashid Faridi,85,no,UPDF,2
KCCA-vs-VILLA,Frank Ssebufu,Charles Lwanga,60,no,Villa,2
KCCA-vs-VILLA,Reagan Mpande,Hassan Mubiru,60,no,Villa,2
KCCA-vs-VILLA,Alex Yiga,Ashraf Mugume,67,no,KCCA,2
KCCA-vs-VILLA,Sharifu Ssengendo,Enock Walusimbi,67,no,KCCA,2
KCCA-vs-VILLA,Patrick Jonah Kakande,Ibrahim Kasinde,80,no,Villa,2
KCCA-vs-VILLA,Elivis Ngonde,Aslam Ssemakula,80,no,Villa,2
KCCA-vs-VILLA,Umar Lutalo,Shafik Nana Kwikiriza,84,no,KCCA,2
KCCA-vs-VILLA,Emmanuel Anyama,Ivan Ahimbisibwe,84,no,KCCA,2
KCCA-vs-VILLA,Andrew Otim,Geoffrey Lubanga Kene,90(+1),yes,Villa,2
KCCA-vs-VILLA,Peter Magambo,Saidi Mayanja,90(+1),yes,KCCA,2
MBARARA-vs-BUL,Isaac Wagoina,Jeromy Kirya,43,no,BUL,3
MBARARA-vs-BUL,Sadat Nsubuga,Nasur Almahad Sadik,57,no,MBARARA,3
MBARARA-vs-BUL,LWENDA SOWEDI,SWABIR MPASA,62,no,BUL,3
MBARARA-vs-BUL,Reagan Kalyowa,Martin Aprem,62,no,BUL,3
MBARARA-vs-BUL,Thomas Kakaire,Ian Amanya,70,no,MBARARA,3
MBARARA-vs-BUL,Gabriel Eragu,Latif Ssenkubuge,70,no,MBARARA,3
MBARARA-vs-BUL,ALEX KITATA,Denis Ssewagudde,84,no,BUL,3
MBARARA-vs-BUL,Clinton Davico Kamugisha,Henry Kitegenyi,90,no,MBARARA,3
MBARARA-vs-BUL,Mike Walaga,Denis Kaka Omony,90,no,MBARARA,3
URA-vs-EXPRESS,ISA GLORY KISUULE,Peter Onzima,25,no,EXPRESS,3
URA-vs-EXPRESS,Muhamed Kagawa Ssenoga,Mikidadi Ssenyonga,46,no,EXPRESS,3
URA-vs-EXPRESS,Godfrey Sekibengo,Laban Tibiita,50,no,URA,3
URA-vs-EXPRESS,ALLI ISMAEL,Abdulahi Rashid,60,no,EXPRESS,3
URA-vs-EXPRESS,Living Kabon,Norman Namanya,75,no,URA,3
URA-vs-EXPRESS,OLOYA MOSES,Henry Wamala,78,no,EXPRESS,3
URA-vs-EXPRESS,NYARWA BITANYWAINE OLIMI,Joseph Ssemujju,82,no,URA,3
UPDF-vs-MAROONS,Emmanuel Manu Ochen,Samson Andrew Kigozi,0,no,UPDF,3
UPDF-vs-MAROONS,Sulaiman Kibalama,Swaibu Kasujja Kalule,49,no,UPDF,3
UPDF-vs-MAROONS,Abel Michael Eturude,Ivan Mayanja,59,no,MAROONS,3
UPDF-vs-MAROONS,Brian Nkuubi,Emmanuel Obua,59,no,MAROONS,3
UPDF-vs-MAROONS,Mujahid Ogama,Dickson Niwamanya,59,no,MAROONS,3
UPDF-vs-MAROONS,Derick Basoga,Felix Okot,67,no,MAROONS,3
UPDF-vs-MAROONS,Apollo Kagogwe,Deni Rukundo,78,no,MAROONS,3
UPDF-vs-MAROONS,Abbas Luuty Nsubuga,Rashid Faridi,78,no,UPDF,3
UPDF-vs-MAROONS,Brian Kalumba,Joseph Janjali,78,no,UPDF,3
UPDF-vs-MAROONS,Shafic kakande,Aggrey Kiirya,88,no,UPDF,3
VILLA-vs-ENTEBBE,Geofrey Gagganga,Aslam Ssemakula,57,no,Villa,3
VILLA-vs-ENTEBBE,Julius Poloto,John Kokas Alou,57,no,ENTEBBE,3
VILLA-vs-ENTEBBE,Charles Lwanga,Ibrahim Kasinde,69,no,Villa,3
VILLA-vs-ENTEBBE,Issa Bugembe,Junior Samuel Kawawa,71,no,ENTEBBE,3
VILLA-vs-ENTEBBE,Elivis Ngonde,Simon Kato Ssemayange,77,no,Villa,3
VILLA-vs-ENTEBBE,Andrew Otim,Frank Ssebufu,77,no,Villa,3
