league,season,md,source_file,player,name_key,team,club,position,jersey,nationality,player_id,date_of_birth,apps,minutes,starts,sub_in,sub_out,goals,own_goals,assists,penalties,yellows,reds_direct,reds_second_yellow
UPL,2026/27,1,U21_stats_sample.xlsx,Ashraf Lukyamuzi,ASHRAF LUKYAMUZI,KCCA,KCCA FC,,45,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Brian Jjara,BRIAN JJARA,KCCA,KCCA FC,,38,Uganda,,,2,175,2,0,1,0,0,0,0,1,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Lazaro Muhindo,LAZARO MUHINDO,KCCA,KCCA FC,,37,Uganda,,,2,124,2,0,2,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Ismail Fahad,FAHAD ISMAIL,KCCA,KCCA FC,,47,Uganda,,,2,79,0,2,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Kennedy Muserero,KENNEDY MUSERERO,KCCA,KCCA FC,,39,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Ukasha Abudshafie Jemba,ABUDSHAFIE JEMBA UKASHA,KCCA,KCCA FC,,49,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Joseph Junior Jude Kakooza,JOSEPH JUDE JUNIOR KAKOOZA,KCCA,KCCA FC,,57,Uganda,,,1,38,0,1,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Raymon Barasa Mangoli,BARASA MANGOLI RAYMON,VILLA,SC Villa,Defender,37,Uganda,,,2,122,1,1,0,0,0,0,0,1,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Martin Mamer Mabior,MABIOR MAMER MARTIN,VILLA,SC Villa,,52,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Steven Mugisha,MUGISHA STEVEN,VILLA,SC Villa,Midfield,39,Uganda,,,2,148,2,0,2,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Ogenrwot Jimmy Gilbert,GILBERT JIMMY OGENRWOT,VILLA,SC Villa,Midfield,38,Uganda,,,1,5,0,1,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,John Asiimwe,ASIIMWE JOHN,VILLA,SC Villa,Midfield,40,Uganda,,,2,42,0,2,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Tonny Ssendi Kiyaga,KIYAGA SSENDI TONNY,VILLA,SC Villa,Defender,41,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
UPL,2026/27,1,U21_stats_sample.xlsx,Jonathan Sausa,JONATHAN SAUSA,VILLA,SC Villa,,77,Uganda,,,0,0,0,0,0,0,0,0,0,0,0,0
