game,player,team,min,added_time,md
LUGAZI-vs-CALVARY,Simon Peter Odeke,CALVARY,11,no,1
LUGAZI-vs-CALVARY,Paul Wasswa,LUGAZI,19,no,1
LUGAZI-vs-CALVARY,Sharif Saaka,LUGAZI,29,no,1
LUGAZI-vs-CALVARY,Ashiraf Mulindi,LUGAZI,79,no,1
KITARA-vs-KCCA,Emmanuel Alex Wasswa,KITARA,4,no,1
KITARA-vs-KCCA,Sharifu Ssengendo,KCCA,83,no,1
EXPRESS-vs-UPDF,Habert Asiimwe,EXPRESS,14,no,1
ENTEBBE-vs-BUHIMBA,John Wesley kisaakye,BUHIMBA,13,no,1
POLICE-vs-MBARARA,Abudshakur Ramsey Jemba,POLICE,26,no,1
POLICE-vs-MBARARA,Reagan Matege,MBARARA,76,no,1
BUL-vs-MAROONS,Ibrahim Mugulusi,BUL,37,no,2
ENTEBBE-vs-LUGAZI,Freedom Mungudit,LUGAZI,24,no,2
ENTEBBE-vs-LUGAZI,Issa Bugembe,ENTEBBE,63,no,2
ENTEBBE-vs-LUGAZI,Fazil Tumwine,ENTEBBE,83,no,2
URA-vs-NEC,Ronald Media Innocent,NEC,10,no,2
URA-vs-NEC,Moses Okabo Aliro,URA,49,no,2
BUHIMBA-vs-CALVARY,Anwaru Mustafa Ntege,BUHIMBA,26,no,2
BUHIMBA-vs-CALVARY,Swadik Moro,BUHIMBA,44,no,2
MBARARA-vs-UPDF,Samuel Kayongo Ssekamatte,UPDF,68,no,2
KCCA-vs-VILLA,Ivan Ahimbisibwe,KCCA,30,no,2
KCCA-vs-VILLA,Najib Yiga,Villa,60,no,2
KCCA-vs-VILLA,Umar Lutalo,KCCA,88,no,2
MBARARA-vs-BUL,Seiri Arigumaho,BUL,35,no,3
MBARARA-vs-BUL,Ian Amanya,MBARARA,39,no,3
UPDF-vs-MAROONS,Dickson Niwamanya,MAROONS,14,no,3
UPDF-vs-MAROONS,Ivan Mayanja,MAROONS,25,no,3
UPDF-vs-MAROONS,Rashid Faridi,UPDF,53,no,3
VILLA-vs-ENTEBBE,Fazil Tumwine,ENTEBBE,28,no,3
VILLA-vs-ENTEBBE,Andrew Otim,Villa,83,no,3
BUHIMBA-vs-KITARA,Edson Agondeze,BUHIMBA,82,no,3
NEC-vs-POLICE,Mustafa Kizza,NEC,3,no,3
NEC-vs-POLICE,Dhata Joseph Stephen Lujang,nec,60,no,3
NEC-vs-POLICE,Charles Bbaale,POLICE,85,no,3
NEC-vs-POLICE,Umaru Kasumba,POLICE,90(+3),yes,3
BUL-vs-BUHIMBA,Ibrahim Mugulusi,BUL,17,no,4
BUL-vs-BUHIMBA,Seiri Arigumaho,BUL,32,no,4
BUL-vs-BUHIMBA,Jeromy Kirya,BUL,39,no,4
EXPRESS-vs-KCCA,Sammy Raynald Ssebaduka,KCCA,71,no,4
KITARA-vs-MBARARA,Isaac Amutuhaire,KITARA,13,no,4
KITARA-vs-MBARARA,Jimmy Kalema,KITARA,16,no,4
KITARA-vs-MBARARA,Innocent Wafula Esimu,MBARARA,23,no,4
KITARA-vs-MBARARA,Henry Kitegenyi,MBARARA,76,no,4
KITARA-vs-MBARARA,Wahab Gadafi,KITARA,90(+1),yes,4
VILLA-VS-POLICE,Bedia Djuma Ikamba,POLICE,22,no,4
VILLA-VS-POLICE,Geofrey Gagganga,Villa,70,no,4
VILLA-VS-POLICE,Charles Lwanga,Villa,90(+3),yes,4
ENTEBBE-vs-NEC,Junior Samuel Kawawa,ENTEBBE,60,no,4
POLICE-vs-MAROONS,Bedia Djuma Ikamba,POLICE,18,no,5
POLICE-vs-MAROONS,Bedia Djuma Ikamba,POLICE,28,no,5
POLICE-vs-MAROONS,Rogers Kiwanuka,MAROONS,42,no,5
URA-vs-UPDF,Moses Okabo Aliro,URA,25,no,5
URA-vs-UPDF,Samson Andrew Kigozi,UPDF,27,no,5
URA-vs-UPDF,George Masembe,URA,45,no,5
URA-vs-UPDF,Samuel Kayongo Ssekamatte,UPDF,54,no,5
URA-vs-UPDF,Moses Okabo Aliro,URA,77,no,5
KITARA-vs-LUGAZI,Patrick Henry Kaddu,KITARA,10,no,5
KITARA-vs-LUGAZI,Patrick Henry Kaddu,KITARA,45(+3),yes,5
KITARA-vs-LUGAZI,Yunusu Sibira,KITARA,51,no,5
KITARA-vs-LUGAZI,Wahab Gadafi,KITARA,87,no,5
BUHIMBA-vs-VILLA,Reagan Mpande,Villa,2,no,5
BUHIMBA-vs-VILLA,Aslam Ssemakula,Villa,14,no,5
BUHIMBA-vs-VILLA,Reagan Mpande,Villa,65,no,5
KCCA-vs-CALVARY,Ivan Ahimbisibwe,KCCA,10,no,5
KCCA-vs-CALVARY,Umar Lutalo,KCCA,13,no,5
KCCA-vs-CALVARY,Shafik Nana Kwikiriza,KCCA,43,no,5
KCCA-vs-CALVARY,Lawrence Olaboro,CALVARY,47,no,5
KCCA-vs-CALVARY,Herbert Achayi,KCCA,63,no,5
KCCA-vs-CALVARY,Stephen Oriokot,CALVARY,71,no,5
ENTEBBE-vs-VIPERS,Abdulkarim Watambala,VIPERS,62,no,5
MBARARA-vs-NEC,Allan Mugalu,NEC,54,no,5
EXPRESS-vs-MBARARA,Abdulahi Rashid,EXPRESS,12,no,6
EXPRESS-vs-MBARARA,Richard Basangwa,EXPRESS,25,no,6
EXPRESS-vs-MBARARA,Muhamed Kagawa Ssenoga,EXPRESS,46,no,6
