league,season,game,player,team,caution,minute,added_time,period,base_minute,stoppage,double-caution,md
UPL,2025/26,BUL-vs-URA,Hillary Onek,BUL,yellow,69,no,2,69,0,No,1
UPL,2025/26,BUL-vs-URA,George Masembe,URA,yellow,84,no,2,84,0,No,1
UPL,2025/26,ENTEBBE-vs-BUHIMBA,Edson Agondeze,BUHIMBA,yellow,35,no,1,35,0,No,1
UPL,2025/26,ENTEBBE-vs-BUHIMBA,David Kasaija,BUHIMBA,yellow,88,no,2,88,0,No,1
UPL,2025/26,ENTEBBE-vs-BUHIMBA,Jamil Kiyimba,BUHIMBA,yellow,89,no,2,89,0,No,1
UPL,2025/26,KITARA-vs-KCCA,Hassan Muhamud,KCCA,yellow,53,no,2,53,0,No,1
UPL,2025/26,KITARA-vs-KCCA,Frank Tumwesigye,KITARA,yellow,72,no,2,72,0,No,1
UPL,2025/26,KITARA-vs-KCCA,George Senkaaba,KITARA,yellow,82,no,2,82,0,No,1
UPL,2025/26,LUGAZI-vs-CALVARY,Bashir Asiku,CALVARY,yellow,25,no,1,25,0,No,1
UPL,2025/26,POLICE-vs-MBARARA,Innocent Wafula Esimu,MBARARA,yellow,12,no,1,12,0,No,1
UPL,2025/26,POLICE-vs-MBARARA,Sulaiman Ssesaazi,MBARARA,yellow,67,no,2,67,0,No,1
UPL,2025/26,EXPRESS-vs-UPDF,Ashraf Mbazira,EXPRESS,yellow,1,no,1,1,0,No,1
UPL,2025/26,EXPRESS-vs-UPDF,Kitara Daniel,UPDF,yellow,89,no,2,89,0,No,1
UPL,2025/26,BUL-vs-MAROONS,Derick Basoga,MAROONS,yellow,32,no,1,32,0,No,2
UPL,2025/26,BUL-vs-MAROONS,Hillary Onek,BUL,yellow,36,no,1,36,0,No,2
UPL,2025/26,BUL-vs-MAROONS,Martin Aprem,BUL,yellow,62,no,2,62,0,No,2
UPL,2025/26,POLICE-vs-EXPRESS,Mathias Muwanga,POLICE,yellow,6,no,1,6,0,No,2
UPL,2025/26,POLICE-vs-EXPRESS,Abdulahi Rashid,EXPRESS,yellow,73,no,2,73,0,No,2
UPL,2025/26,URA-vs-NEC,Joseph Seremba,NEC,yellow,31,no,1,31,0,No,2
UPL,2025/26,URA-vs-NEC,Laban Tibiita,URA,yellow,71,no,2,71,0,No,2
UPL,2025/26,BUHIMBA-vs-CALVARY,Daniel Opio,CALVARY,yellow,23,no,1,23,0,No,2
UPL,2025/26,BUHIMBA-vs-CALVARY,Dudu Ramadhan,BUHIMBA,yellow,85,no,2,85,0,No,2
UPL,2025/26,MBARARA-vs-UPDF,Ronald Kayondo,UPDF,yellow,76,no,2,76,0,No,2
UPL,2025/26,MBARARA-vs-UPDF,Christopher Kamagu,UPDF,red,79,no,2,79,0,No,2
UPL,2025/26,MBARARA-vs-UPDF,Henry Kitegenyi,MBARARA,yellow,87,no,2,87,0,No,2
UPL,2025/26,KCCA-vs-VILLA,Missi Diego Semugera,Villa,yellow,24,no,1,24,0,No,2
UPL,2025/26,KCCA-vs-VILLA,Geoffrey Lubanga Kene,Villa,yellow,41,no,1,41,0,No,2
UPL,2025/26,KCCA-vs-VILLA,Fillbert Obenchan,KCCA,yellow,62,no,2,62,0,No,2
UPL,2025/26,KCCA-vs-VILLA,Simon Kato Ssemayange,Villa,yellow,65,no,2,65,0,No,2
UPL,2025/26,KCCA-vs-VILLA,David Lukwago,Villa,yellow,87,no,2,87,0,No,2
UPL,2025/26,KCCA-vs-VILLA,Herbert Achayi,KCCA,yellow,92,yes,2,90,2,No,2
UPL,2025/26,MBARARA-vs-BUL,Denis Kaka Omony,MBARARA,yellow,52,no,2,52,0,No,3
UPL,2025/26,MBARARA-vs-BUL,Tah Barni Kelvin,BUL,yellow,74,no,2,74,0,No,3
UPL,2025/26,MBARARA-vs-BUL,Hamza Mulambuzi,MBARARA,yellow,85,no,2,85,0,No,3
UPL,2025/26,URA-vs-EXPRESS,Lawrence Muwonge Bukenya,EXPRESS,yellow,46,no,2,46,0,No,3
UPL,2025/26,URA-vs-EXPRESS,ALLI ISMAEL,EXPRESS,yellow,85,no,2,85,0,No,3
UPL,2025/26,UPDF-vs-MAROONS,Bernard Muwanga,UPDF,yellow,14,no,1,14,0,No,3
UPL,2025/26,UPDF-vs-MAROONS,Edward Kabona,MAROONS,yellow,70,no,2,70,0,No,3
UPL,2025/26,UPDF-vs-MAROONS,Deni Rukundo,MAROONS,yellow,78,no,2,78,0,No,3
UPL,2025/26,UPDF-vs-MAROONS,Rogers Kiwanuka,MAROONS,yellow,85,no,2,85,0,No,3
UPL,2025/26,UPDF-vs-MAROONS,Aggrey Kiirya,UPDF,yellow,87,no,2,87,0,No,3
UPL,2025/26,UPDF-vs-MAROONS,Abel Michael Eturude,MAROONS,yellow,90,no,2,90,0,No,3
UPL,2025/26,VILLA-vs-ENTEBBE,Ahmed Amayo,ENTEBBE,yellow,18,no,1,18,0,No,3
