league,season,team,matches,matches_behind,points_from_losing,wins_from_losing,draws_from_losing,matches_ahead,points_dropped_from_winning,losses_from_winning,draws_from_winning
UPL,2025/26,VILLA,4,3,4,1,1,2,0,0,0
UPL,2025/26,LUGAZI,3,2,3,1,0,1,0,0,0
UPL,2025/26,MBARARA,5,5,2,0,2,0,0,0,0
UPL,2025/26,EXPRESS,5,3,1,0,1,1,0,0,0
UPL,2025/26,POLICE,5,2,1,0,1,4,5,1,1
UPL,2025/26,URA,5,1,1,0,1,2,2,0,1
UPL,2025/26,KCCA,4,1,1,0,1,3,0,0,0
UPL,2025/26,BUHIMBA,4,2,0,0,0,2,0,0,0
UPL,2025/26,KITARA,3,0,0,0,0,3,2,0,1
UPL,2025/26,BUL,5,0,0,0,0,3,2,0,1
UPL,2025/26,CALVARY,4,3,0,0,0,1,3,1,0
UPL,2025/26,ENTEBBE,4,2,0,0,0,2,2,0,1
UPL,2025/26,NEC,4,1,0,0,0,3,4,0,2
UPL,2025/26,MAROONS,4,2,0,0,0,1,0,0,0
UPL,2025/26,UPDF,4,3,0,0,0,1,0,0,0
UPL,2025/26,VIPERS,1,0,0,0,0,1,0,0,0
