league,season,game,md,home,away,home_goals,away_goals,total_goals
UPL,2025/26,BUL-VS-URA,1,BUL,URA,0,0,0
UPL,2025/26,ENTEBBE-VS-BUHIMBA,1,ENTEBBE,BUHIMBA,0,1,1
UPL,2025/26,EXPRESS-VS-UPDF,1,EXPRESS,UPDF,1,0,1
UPL,2025/26,KITARA-VS-KCCA,1,KITARA,KCCA,1,1,2
UPL,2025/26,LUGAZI-VS-CALVARY,1,LUGAZI,CALVARY,3,1,4
UPL,2025/26,POLICE-VS-MBARARA,1,POLICE,MBARARA,1,1,2
UPL,2025/26,BUHIMBA-VS-CALVARY,2,BUHIMBA,CALVARY,2,0,2
UPL,2025/26,BUL-VS-MAROONS,2,BUL,MAROONS,1,0,1
UPL,2025/26,KCCA-VS-VILLA,2,KCCA,VILLA,2,1,3
UPL,2025/26,MBARARA-VS-UPDF,2,MBARARA,UPDF,0,1,1
UPL,2025/26,POLICE-VS-EXPRESS,2,POLICE,EXPRESS,2,1,3
UPL,2025/26,URA-VS-NEC,2,URA,NEC,1,1,2
UPL,2025/26,MBARARA-VS-BUL,3,MBARARA,BUL,1,1,2
UPL,2025/26,NEC-VS-POLICE,3,NEC,POLICE,2,2,4
UPL,2025/26,UPDF-VS-MAROONS,3,UPDF,MAROONS,1,2,3
UPL,2025/26,URA-VS-EXPRESS,3,URA,EXPRESS,1,1,2
UPL,2025/26,VILLA-VS-ENTEBBE,3,VILLA,ENTEBBE,1,1,2
UPL,2025/26,BUL-VS-BUHIMBA,4,BUL,BUHIMBA,3,0,3
UPL,2025/26,ENTEBBE-VS-NEC,4,ENTEBBE,NEC,1,0,1
UPL,2025/26,EXPRESS-VS-KCCA,4,EXPRESS,KCCA,0,1,1
UPL,2025/26,KITARA-VS-MBARARA,4,KITARA,MBARARA,3,2,5
UPL,2025/26,LUGAZI-VS-URA,4,LUGAZI,URA,0,0,0
UPL,2025/26,MAROONS-VS-CALVARY,4,MAROONS,CALVARY,0,0,0
UPL,2025/26,VILLA-VS-POLICE,4,VILLA,POLICE,2,1,3
UPL,2025/26,BUHIMBA-VS-VILLA,5,BUHIMBA,VILLA,0,3,3
UPL,2025/26,BUL-VS-EXPRESS,5,BUL,EXPRESS,0,0,0
UPL,2025/26,ENTEBBE-VS-VIPERS,5,ENTEBBE,VIPERS,0,1,1
UPL,2025/26,KCCA-VS-CALVARY,5,KCCA,CALVARY,4,2,6
UPL,2025/26,KITARA-VS-LUGAZI,5,KITARA,LUGAZI,4,0,4
UPL,2025/26,MBARARA-VS-NEC,5,MBARARA,NEC,0,1,1
UPL,2025/26,POLICE-VS-MAROONS,5,POLICE,MAROONS,2,1,3
UPL,2025/26,URA-VS-UPDF,5,URA,UPDF,3,2,5
