league,season,md,source,player_key,player_id,player,team,position,jersey,birth_year,u21_born_from,apps,minutes,starts,sub_in,sub_out,goals,own_goals,assists,penalties,yellows,reds_direct,reds_second_yellow,report_minutes,team_points,team_matches
UPL,2025/26,1,reports,033075M05,033075M05,Moses Ayebale,BUHIMBA,,28,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,1,reports,048868M06,048868M06,Denis Ssewagudde,BUL,,25,2006.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,1,reports,038683M06,038683M06,Lwenda Sowedi,BUL,,28,2006.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,1,reports,045395M05,045395M05,Simon Achidi,BUL,,30,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,1,reports,001111M04,001111M04,Allan Kiggundu,CALVARY,,28,2004.0,2004-01-01,1,34,0,1,0,0,,,,0,0,0,34.0,0.0,1.0
UPL,2025/26,1,reports,064234M05,064234M05,Andrew Kiwanuka,CALVARY,,29,2005.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,0.0,1.0
UPL,2025/26,1,reports,033958M06,033958M06,Junior Emmanuel Ojok,CALVARY,,30,2006.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,0.0,1.0
UPL,2025/26,1,reports,058076M06,058076M06,Mubaraka Mitala,CALVARY,,25,2006.0,2004-01-01,1,10,0,1,0,0,,,,0,0,0,10.0,0.0,1.0
UPL,2025/26,1,reports,027001M05,027001M05,Charles Okello Batiibwe,ENTEBBE,,27,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,1.0
UPL,2025/26,1,reports,051245M05,051245M05,Fazil Tumwine,ENTEBBE,,9,2005.0,2004-01-01,1,23,0,1,0,0,,,,0,0,0,23.0,0.0,1.0
UPL,2025/26,1,reports,024771M04,024771M04,Issa Bugembe,ENTEBBE,,17,2004.0,2004-01-01,1,46,1,0,1,0,,,,0,0,0,46.0,0.0,1.0
UPL,2025/26,1,reports,063477M06,063477M06,Elvis Ssekajjugo,EXPRESS,,30,2006.0,2004-01-01,1,3,0,1,0,0,,,,0,0,0,3.0,3.0,1.0
UPL,2025/26,1,reports,033032M07,033032M07,Hakim Wandera,EXPRESS,,3,2007.0,2004-01-01,1,46,1,0,1,0,,,,0,0,0,46.0,3.0,1.0
UPL,2025/26,1,reports,058018M05,058018M05,Isa Glory Kisuule,EXPRESS,,29,2005.0,2004-01-01,1,3,0,1,0,0,,,,0,0,0,3.0,3.0,1.0
UPL,2025/26,1,reports,042882M08,042882M08,John Asiimwe,EXPRESS,,25,2008.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,3.0,1.0
UPL,2025/26,1,reports,035993M06,035993M06,Khasim Mustapha,EXPRESS,,26,2006.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,3.0,1.0
UPL,2025/26,1,reports,010898M04,010898M04,Khassim Hafizi,EXPRESS,,27,2004.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,1,reports,033201M06,033201M06,Alex Yiga,KCCA,,30,2006.0,2004-01-01,1,35,0,1,0,0,,,,0,0,0,35.0,1.0,1.0
UPL,2025/26,1,reports,036912M08,036912M08,Brian Jjara,KCCA,,56,2008.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,1,reports,021673M04,021673M04,Haruna Lukwago,KCCA,,29,2004.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,1,reports,044066M04,044066M04,Humphrey Oyirwoth,KCCA,,28,2004.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,1,reports,025433M04,025433M04,James Mubezi,KCCA,,26,2004.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,1,reports,005883M04,005883M04,Joel Sserunjogi,KCCA,,22,2004.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,1,reports,040861M04,040861M04,Shafik Nana Kwikiriza,KCCA,,19,2004.0,2004-01-01,1,55,1,0,1,0,,,,0,0,0,55.0,1.0,1.0
UPL,2025/26,1,reports,055880M05,055880M05,Sharifu Ssengendo,KCCA,,5,2005.0,2004-01-01,1,12,0,1,0,1,,,,0,0,0,12.0,1.0,1.0
UPL,2025/26,1,reports,033211M07,033211M07,Steven James Oyirwoth,KCCA,,45,2007.0,2004-01-01,1,44,0,1,0,0,,,,0,0,0,44.0,1.0,1.0
UPL,2025/26,1,reports,044748M05,044748M05,Edward Namaasa,KITARA,,26,2005.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,1,reports,031277M05,031277M05,Jimmy Kalema,KITARA,,15,2005.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,1,reports,065884M07,065884M07,Allan Batali Igama,LUGAZI,,1,2007.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,1,reports,044172M05,044172M05,Edrine Junior Owachgiu,LUGAZI,,5,2005.0,2004-01-01,1,0,0,1,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,1,reports,057827M06,057827M06,Freedom Mungudit,LUGAZI,,27,2006.0,2004-01-01,1,60,0,1,0,0,,,,0,0,0,60.0,3.0,1.0
UPL,2025/26,1,reports,051304M06,051304M06,Juma Ssajjabi,LUGAZI,,26,2006.0,2004-01-01,1,46,1,0,1,0,,,,0,0,0,46.0,3.0,1.0
UPL,2025/26,1,reports,062826M05,062826M05,Lumumba Norman Eluzai Brown,LUGAZI,,22,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,3.0,1.0
UPL,2025/26,1,reports,025236M04,025236M04,Abudul Malik Bironse,MBARARA,,28,2004.0,2004-01-01,1,46,1,0,1,0,,,,0,0,0,46.0,1.0,1.0
UPL,2025/26,1,reports,055878M04,055878M04,Henry Kitegenyi,MBARARA,,9,2004.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,1,reports,010972M05,010972M05,Abudshakur Ramsey Jemba,POLICE,,28,2005.0,2004-01-01,1,60,1,0,1,1,,,,0,0,0,60.0,1.0,1.0
UPL,2025/26,1,reports,065938M04,065938M04,Bedia Djuma Ikamba,POLICE,,15,2004.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,1,reports,055884M06,055884M06,Dennis Kalanzi,POLICE,,10,2006.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,1,reports,032556M05,032556M05,Rayn Figo Kizito,POLICE,,26,2005.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,1.0,1.0
UPL,2025/26,1,reports,022529M05,022529M05,Stephen Namaisi,POLICE,,30,2005.0,2004-01-01,1,90,1,0,0,0,,,,0,0,0,90.0,1.0,1.0
UPL,2025/26,1,reports,036011M06,036011M06,Enrique Lubwama,UPDF,,26,2006.0,2004-01-01,1,3,0,1,0,0,,,,0,0,0,3.0,0.0,1.0
UPL,2025/26,1,reports,026590M04,026590M04,Shamulan Kamya,UPDF,,27,2004.0,2004-01-01,0,0,0,0,0,0,,,,0,0,0,0.0,0.0,1.0
UPL,2025/26,1,reports,032842M06,032842M06,Denis Luzige Kisiriko,URA,,28,2006.0,2004-01-01,1,14,0,1,0,0,,,,0,0,0,14.0,1.0,1.0
UPL,2025/26,1,reports,045544M05,045544M05,George Masembe,URA,,14,2005.0,2004-01-01,1,90,1,0,0,0,,,,1,0,0,90.0,1.0,1.0
UPL,2025/26,1,reports,043871M06,043871M06,Godfrey Sekibengo,URA,,30,2006.0,2004-01-01,1,2,0,1,0,0,,,,0,0,0,2.0,1.0,1.0
